user_id,signup_ts,country,acquisition_channel,native_language,learning_language
62,2025-06-05T18:19:00,MX,paid_search,English,English
63,2025-06-05T03:56:00,ES,organic,English,Spanish
64,2025-06-06T03:01:00,Pl,organic,English,French
65,2025-06-06T22:41:00,br,organic,English,Japanese
66,2025-06-06T19:01:00,IN,social,English,Italian
67,2025-06-06T03:26:00,IN,app_store,English,Spanish
68,2025-06-06T09:58:00,US,paid_search,English,Japanese
69,2025-06-06T07:57:00,JP,organic,English,English
70,2025-06-06T11:01:00,MX,paid_search,English,Spanish
71,2025-06-06T20:06:00,JP,organic,English,Italian
72,2025-06-06T00:57:00,ES,paid_search,English,French
73,2025-06-06T17:48:00,MX,paid_search,English,Japanese
74,2025-06-06T20:01:00,UK,referral,English,Spanish
75,2025-06-06T19:27:00,PL,paid_search,English,Italian
76,2025-06-07T22:52:00,JP,social,English,French
77,2025-06-07T02:22:00,ES,paid_search,English,Spanish
78,2025-06-07T23:52:00,JP,paid_search,English,Japanese
79,2025-06-07T06:14:00,Pl,referral,English,Italian
80,2025-06-07T02:52:00,MX,paid_search,English,Spanish
81,2025-06-07T03:11:00,FR,organic,English,Italian
82,2025-06-07T03:54:00,MX,organic,English,English
83,2025-06-07T06:34:00,DE,organic,English,Japanese
84,2025-06-07T17:03:00,US,organic,English,French
85,2025-06-07T14:30:00,ES,organic,English,Italian
86,2025-06-07T07:59:00,IN,referral,English,Japanese
87,2025-06-07T20:32:00,GB,organic,English,English
88,2025-06-07T05:14:00,pl ,paid_search,English,Japanese
89,2025-06-07T01:00:00,pl ,paid_search,English,English
90,2025-06-07T02:50:00,DE,app_store,English,Spanish
91,2025-06-08T02:50:00,JP,app_store,English,English
92,2025-06-08T23:19:00,Pl,social,English,Japanese
93,2025-06-08T14:46:00,JP,organic,English,Italian
94,2025-06-08T07:30:00,br,paid_search,English,English
95,2025-06-08T09:41:00,UK,organic,English,Spanish
96,2025-06-08T10:28:00,DE,organic,English,German
97,2025-06-08T08:30:00,FR,organic,English,German
98,2025-06-08T09:10:00,ES,organic,English,Italian
99,2025-06-08T22:40:00,UK,paid_search,English,Italian
100,2025-06-08T11:32:00,FR,referral,English,German
101,2025-06-08T04:48:00,JP,paid_search,English,Italian
102,2025-06-08T01:17:00,JP,social,English,Spanish
103,2025-06-08T14:41:00,pl ,organic,English,English
104,2025-06-08T14:38:00,MX,social,English,Spanish
105,2025-06-08T02:31:00,br,organic,English,English
106,2025-06-09T04:48:00,MX,paid_search,English,German
107,2025-06-09T23:47:00,UK,organic,English,English
108,2025-06-09T14:03:00,GB,social,English,French
109,2025-06-09T03:33:00,DE,paid_search,English,Japanese
110,2025-06-09T12:43:00,JP,social,English,Italian
111,2025-06-09T11:14:00,br,app_store,English,English
112,2025-06-09T18:07:00,de,social,English,Spanish
113,2025-06-09T10:55:00,UK,social,English,Italian
114,2025-06-09T17:53:00,FR,social,English,Japanese
115,2025-06-09T19:21:00,pl ,organic,English,French
116,2025-06-09T03:05:00,MX,paid_search,English,English
117,2025-06-09T09:07:00,UK,paid_search,English,English
118,2025-06-10T08:46:00,MX,paid_search,English,Spanish
119,2025-06-10T15:59:00,FR,social,English,English
120,2025-06-10T10:07:00,MX,referral,English,English
121,2025-06-10T02:07:00,JP,paid_search,English,Spanish
122,2025-06-10T13:00:00,JP,paid_search,English,Italian
123,2025-06-10T10:17:00,IN,paid_search,English,French
124,2025-06-10T00:18:00,ES,app_store,English,Italian
125,2025-06-10T13:06:00,GB,referral,English,English
126,2025-06-10T06:46:00,JP,organic,English,English
127,2025-06-10T23:01:00,JP,social,English,Japanese
128,2025-06-10T02:40:00,JP,organic,English,English
129,2025-06-10T05:27:00,PL,social,English,Italian
130,2025-06-10T00:54:00,DE,organic,English,Japanese
131,2025-06-11T00:09:00,US,social,English,English
132,2025-06-11T23:14:00,IN,referral,English,French
133,2025-06-11T16:48:00, US,social,English,English
134,2025-06-11T16:49:00,IN,organic,English,English
135,2025-06-11T04:06:00,ES,paid_search,English,Spanish
136,2025-06-11T17:32:00,br,referral,English,German
137,2025-06-11T19:44:00,DE,organic,English,French
138,2025-06-11T17:31:00, US,social,English,Japanese
139,2025-06-11T01:36:00,US,referral,English,Spanish
140,2025-06-11T17:24:00,ES,organic,English,French
141,2025-06-11T04:22:00,UK,paid_search,English,Japanese
142,2025-06-11T06:38:00,UK,organic,English,Japanese
143,2025-06-11T22:32:00,PL,paid_search,English,Japanese
144,2025-06-12T06:38:00,JP,app_store,English,Spanish
145,2025-06-12T11:30:00,de,paid_search,English,German
146,2025-06-12T02:58:00,DE,organic,English,Spanish
147,2025-06-12T14:25:00,FR,social,English,German
148,2025-06-12T23:24:00,JP,paid_search,English,English
149,2025-06-12T22:35:00,pl ,organic,English,French
150,2025-06-12T10:28:00,pl ,organic,English,Spanish
151,2025-06-12T08:33:00,br,social,English,Italian
152,2025-06-12T15:36:00,BR,social,English,German
153,2025-06-12T04:25:00,br,organic,English,Japanese
154,2025-06-12T12:48:00,MX,referral,English,Italian
155,2025-06-12T22:51:00,de,paid_search,English,French
156,2025-06-12T05:18:00,UK,paid_search,English,English
157,2025-06-13T02:03:00,US,referral,English,Italian
158,2025-06-13T01:16:00,us,organic,English,German
159,2025-06-13T07:03:00,UK,organic,English,German
160,2025-06-13T16:51:00,IN,organic,English,Italian
161,2025-06-13T05:36:00,de,organic,English,Spanish
162,2025-06-13T23:04:00,br,social,English,German
163,2025-06-13T18:41:00,FR,social,English,Italian
164,2025-06-13T22:38:00,FR,organic,English,Italian
165,2025-06-13T18:31:00,pl ,organic,English,Spanish
166,2025-06-13T20:55:00,ES,paid_search,English,English
167,2025-06-13T20:48:00,Pl,organic,English,Japanese
168,2025-06-13T20:23:00,ES,organic,English,English
169,2025-06-13T00:26:00,GB,organic,English,German
170,2025-06-14T04:14:00,FR,organic,English,English
171,2025-06-14T05:11:00,JP,paid_search,English,French
172,2025-06-14T14:43:00,MX,organic,English,German
173,2025-06-14T05:50:00,Pl,social,English,Japanese
174,2025-06-14T09:40:00,JP,social,English,Japanese
175,2025-06-14T17:21:00, US,organic,English,Japanese
176,2025-06-14T20:19:00,MX,social,English,German
177,2025-06-14T20:22:00,JP,app_store,English,Japanese
178,2025-06-14T14:07:00,FR,organic,English,English
179,2025-06-14T11:50:00,br,organic,English,Spanish
180,2025-06-14T23:55:00,FR,social,English,German
181,2025-06-14T00:20:00,DE,organic,English,French
182,2025-06-14T22:41:00,JP,organic,English,German
183,2025-06-14T14:33:00,DE,organic,English,French
184,2025-06-14T12:38:00,UK,social,English,English
185,2025-06-14T11:59:00,IN,app_store,English,Italian
186,2025-06-15T17:17:00,br,social,English,German
187,2025-06-15T01:06:00,IN,social,English,Italian
188,2025-06-15T15:33:00,ES,social,English,German
189,2025-06-15T02:59:00,MX,organic,English,Italian
190,2025-06-15T23:44:00,UK,organic,English,German
191,2025-06-15T00:30:00,Pl,paid_search,English,English
192,2025-06-15T20:27:00,MX,app_store,English,French
193,2025-06-15T01:47:00,ES,organic,English,French
194,2025-06-15T12:48:00,BR,referral,English,English
195,2025-06-15T00:03:00,pl ,organic,English,German
196,2025-06-15T22:40:00,de,social,English,Italian
197,2025-06-15T20:44:00, US,referral,English,German
198,2025-06-15T21:14:00,US,referral,English,Japanese
199,2025-06-15T00:57:00,ES,social,English,Japanese
200,2025-06-15T00:45:00,BR,referral,English,Japanese
201,2025-06-15T06:14:00,JP,referral,English,Japanese
202,2025-06-16T18:51:00,FR,organic,English,Italian
203,2025-06-16T10:23:00,BR,referral,English,French
204,2025-06-16T04:40:00,IN,organic,English,Spanish
205,2025-06-16T17:25:00,ES,app_store,English,Italian
206,2025-06-16T07:46:00,JP,organic,English,German
207,2025-06-16T13:11:00,de,social,English,Italian
208,2025-06-16T01:23:00,BR,paid_search,English,English
209,2025-06-16T03:06:00,FR,organic,English,German
210,2025-06-16T04:33:00,FR,paid_search,English,Spanish
211,2025-06-16T15:52:00,MX,paid_search,English,German
212,2025-06-16T23:57:00,IN,paid_search,English,Italian
213,2025-06-16T06:20:00,MX,organic,English,English
214,2025-06-16T07:53:00,br,paid_search,English,English
215,2025-06-17T05:35:00,UK,organic,English,Japanese
216,2025-06-17T05:17:00,IN,organic,English,French
217,2025-06-17T20:00:00,FR,paid_search,English,French
218,2025-06-17T19:35:00,Pl,paid_search,English,English
219,2025-06-17T22:59:00,ES,social,English,French
220,2025-06-17T16:54:00,IN,social,English,German
221,2025-06-17T04:33:00,DE,social,English,Spanish
222,2025-06-17T22:46:00,FR,paid_search,English,Japanese
223,2025-06-17T00:56:00,de,organic,English,French
224,2025-06-17T01:14:00,us,paid_search,English,Spanish
225,2025-06-17T12:47:00,PL,organic,English,English
226,2025-06-17T15:23:00,de,social,English,Spanish
227,2025-06-17T04:58:00,ES,organic,English,French
228,2025-06-18T09:09:00,PL,organic,English,German
229,2025-06-18T03:00:00,IN,paid_search,English,French
230,2025-06-18T00:19:00,ES,paid_search,English,Japanese
231,2025-06-18T11:50:00,UK,organic,English,French
232,2025-06-18T05:54:00,BR,social,English,German
233,2025-06-18T17:19:00,PL,organic,English,English
234,2025-06-18T11:51:00,ES,organic,English,Italian
235,2025-06-18T01:19:00,JP,app_store,English,Spanish
236,2025-06-18T00:55:00,US,organic,English,Spanish
237,2025-06-18T16:37:00,DE,paid_search,English,French
238,2025-06-18T14:41:00,Pl,organic,English,French
239,2025-06-18T12:37:00,IN,organic,English,English
240,2025-06-18T23:51:00,GB,app_store,English,French
241,2025-06-18T10:58:00,br,app_store,English,Spanish
242,2025-06-19T17:48:00,FR,organic,English,Japanese
243,2025-06-19T02:36:00,GB,paid_search,English,French
244,2025-06-19T07:49:00,JP,organic,English,Spanish
245,2025-06-19T08:23:00,GB,organic,English,Japanese
246,2025-06-19T20:42:00,GB,organic,English,Italian
247,2025-06-19T21:08:00,de,organic,English,Italian
248,2025-06-19T16:41:00,DE,paid_search,English,French
249,2025-06-19T23:15:00,DE,organic,English,Japanese
250,2025-06-19T13:35:00,MX,organic,English,Japanese
251,2025-06-19T02:52:00,IN,paid_search,English,Spanish
252,2025-06-19T04:16:00,JP,organic,English,German
253,2025-06-19T03:17:00,BR,referral,English,Japanese
254,2025-06-19T00:03:00,de,organic,English,English
255,2025-06-19T20:15:00,IN,social,English,French
256,2025-06-20T12:23:00,br,social,English,Italian
257,2025-06-20T13:16:00,UK,app_store,English,Spanish
258,2025-06-20T22:30:00,ES,organic,English,Spanish
259,2025-06-20T08:31:00,GB,organic,English,German
260,2025-06-20T21:39:00,GB,social,English,German
261,2025-06-20T08:57:00,DE,organic,English,French
262,2025-06-20T20:59:00,MX,organic,English,English
263,2025-06-20T11:52:00,FR,referral,English,Italian
264,2025-06-20T09:24:00,JP,social,English,Japanese
265,2025-06-20T17:32:00,JP,paid_search,English,Italian
266,2025-06-20T02:46:00,ES,referral,English,English
267,2025-06-20T19:30:00,IN,organic,English,Spanish
268,2025-06-20T17:27:00,ES,app_store,English,Spanish
269,2025-06-20T09:48:00,MX,referral,English,Italian
270,2025-06-21T09:37:00,JP,social,English,French
271,2025-06-21T13:23:00,BR,social,English,Japanese
272,2025-06-21T12:28:00,MX,organic,English,German
273,2025-06-21T08:23:00,FR,organic,English,French
274,2025-06-21T07:41:00,DE,app_store,English,German
275,2025-06-21T05:11:00,GB,social,English,Japanese
276,2025-06-21T08:16:00,IN,organic,English,English
277,2025-06-21T11:31:00,DE,organic,English,German
278,2025-06-21T01:00:00,DE,app_store,English,French
279,2025-06-21T16:29:00,JP,organic,English,French
280,2025-06-21T03:17:00,PL,referral,English,Italian
281,2025-06-21T21:06:00,UK,app_store,English,German
282,2025-06-21T14:04:00,MX,organic,English,English
283,2025-06-21T05:33:00,FR,organic,English,Italian
284,2025-06-21T17:37:00,IN,paid_search,English,Japanese
285,2025-06-21T01:15:00,DE,referral,English,Spanish
286,2025-06-21T14:31:00,FR,organic,English,Italian
287,2025-06-22T08:50:00,IN,social,English,German
288,2025-06-22T18:02:00,US,app_store,English,German
289,2025-06-22T05:53:00,de,organic,English,Spanish
290,2025-06-22T20:37:00,DE,paid_search,English,Spanish
291,2025-06-22T04:14:00,ES,social,English,Spanish
292,2025-06-22T13:52:00,IN,organic,English,Japanese
293,2025-06-22T17:14:00,BR,organic,English,French
294,2025-06-22T22:04:00, US,social,English,French
295,2025-06-22T06:29:00,BR,paid_search,English,Japanese
296,2025-06-22T10:21:00,IN,organic,English,Spanish
297,2025-06-22T22:05:00,DE,app_store,English,Spanish
298,2025-06-22T08:33:00,de,organic,English,French
299,2025-06-22T00:22:00,IN,app_store,English,Spanish
300,2025-06-22T07:54:00,us,paid_search,English,English
301,2025-06-22T12:31:00,ES,organic,English,English
302,2025-06-22T03:49:00,MX,social,English,German
303,2025-06-22T20:09:00,ES,app_store,English,Italian
304,2025-06-23T13:03:00,FR,organic,English,Spanish
305,2025-06-23T15:37:00,GB,social,English,Italian
306,2025-06-23T05:12:00,IN,paid_search,English,English
307,2025-06-23T15:45:00,PL,app_store,English,French
308,2025-06-23T21:03:00,pl ,organic,English,German
309,2025-06-23T03:47:00,ES,organic,English,Japanese
310,2025-06-23T22:38:00,DE,social,English,Italian
311,2025-06-23T07:39:00,ES,paid_search,English,Spanish
312,2025-06-23T14:57:00,ES,organic,English,Japanese
313,2025-06-23T02:40:00,de,organic,English,English
314,2025-06-23T10:17:00,MX,social,English,English
315,2025-06-23T23:27:00,pl ,social,English,French
316,2025-06-23T08:56:00,FR,organic,English,Italian
317,2025-06-23T09:24:00,UK,social,English,Japanese
318,2025-06-24T12:43:00,br,paid_search,English,French
319,2025-06-24T09:20:00,JP,paid_search,English,German
320,2025-06-24T06:07:00,ES,organic,English,French
321,2025-06-24T03:39:00,JP,social,English,French
322,2025-06-24T21:19:00, US,social,English,French
323,2025-06-24T20:45:00,MX,social,English,French
324,2025-06-24T03:52:00,DE,organic,English,French
325,2025-06-24T06:40:00,Pl,organic,English,English
326,2025-06-24T13:32:00,MX,app_store,English,Italian
327,2025-06-24T14:44:00,BR,social,English,Spanish
328,2025-06-24T17:58:00,FR,organic,English,German
329,2025-06-24T13:01:00,JP,paid_search,English,Italian
330,2025-06-24T23:36:00,IN,paid_search,English,French
331,2025-06-24T20:51:00,MX,organic,English,English
332,2025-06-25T16:29:00,BR,organic,English,Japanese
333,2025-06-25T05:24:00,IN,app_store,English,English
334,2025-06-25T20:56:00,FR,social,English,English
335,2025-06-25T18:13:00,MX,paid_search,English,Italian
336,2025-06-25T10:41:00,JP,social,English,French
337,2025-06-25T06:18:00,JP,paid_search,English,French
338,2025-06-25T09:17:00,FR,referral,English,French
339,2025-06-25T20:34:00,PL,organic,English,Spanish
340,2025-06-25T10:47:00,FR,referral,English,French
341,2025-06-25T16:46:00,de,organic,English,Spanish
342,2025-06-25T23:17:00,ES,organic,English,French
343,2025-06-25T10:24:00,us,app_store,English,French
344,2025-06-25T15:04:00,MX,organic,English,Japanese
345,2025-06-25T05:16:00,GB,social,English,English
346,2025-06-26T02:42:00,ES,organic,English,Italian
347,2025-06-26T10:30:00,de,paid_search,English,French
348,2025-06-26T19:39:00,JP,app_store,English,Spanish
349,2025-06-26T00:30:00,MX,organic,English,Italian
350,2025-06-26T02:58:00,GB,paid_search,English,French
351,2025-06-26T10:12:00,DE,social,English,Italian
352,2025-06-26T07:47:00,FR,referral,English,English
353,2025-06-26T22:24:00,IN,organic,English,French
354,2025-06-26T17:48:00,GB,referral,English,German
355,2025-06-26T03:34:00,Pl,organic,English,French
356,2025-06-26T07:32:00,DE,organic,English,Spanish
357,2025-06-26T00:05:00,pl ,social,English,Spanish
358,2025-06-26T08:39:00, US,organic,English,Italian
359,2025-06-26T03:03:00, US,referral,English,Japanese
360,2025-06-26T10:49:00,BR,organic,English,Spanish
361,2025-06-27T17:35:00,BR,social,English,French
362,2025-06-27T12:45:00,br,organic,English,German
363,2025-06-27T05:37:00,ES,social,English,French
364,2025-06-27T02:45:00,MX,organic,English,Spanish
365,2025-06-27T04:02:00,de,organic,English,Italian
366,2025-06-27T20:08:00,MX,social,English,French
367,2025-06-27T22:23:00,ES,referral,English,English
368,2025-06-27T22:52:00,MX,organic,English,Japanese
369,2025-06-27T11:39:00,Pl,social,English,French
370,2025-06-27T13:44:00,us,referral,English,German
371,2025-06-27T11:01:00,UK,social,English,Spanish
372,2025-06-27T11:37:00,FR,paid_search,English,French
373,2025-06-27T18:06:00,Pl,paid_search,English,Spanish
374,2025-06-27T18:16:00,FR,paid_search,English,Spanish
375,2025-06-27T10:33:00,FR,social,English,English
376,2025-06-28T08:00:00,US,referral,English,French
377,2025-06-28T15:46:00,GB,referral,English,Spanish
378,2025-06-28T19:28:00,ES,app_store,English,German
379,2025-06-28T08:12:00,us,organic,English,Japanese
380,2025-06-28T16:01:00,FR,organic,English,French
381,2025-06-28T04:06:00,ES,organic,English,German
382,2025-06-28T03:39:00, US,organic,English,German
383,2025-06-28T05:03:00,FR,organic,English,German
384,2025-06-28T22:36:00,pl ,referral,English,French
385,2025-06-28T22:41:00,US,organic,English,Spanish
386,2025-06-28T11:37:00,DE,referral,English,Spanish
387,2025-06-28T18:06:00,MX,paid_search,English,Italian
388,2025-06-28T23:26:00,DE,paid_search,English,Spanish
389,2025-06-28T11:56:00,FR,paid_search,English,English
390,2025-06-28T22:10:00,IN,app_store,English,French
391,2025-06-28T12:29:00,ES,app_store,English,English
392,2025-06-28T19:23:00,FR,paid_search,English,German
393,2025-06-28T15:19:00,DE,organic,English,French
394,2025-06-29T20:01:00,UK,organic,English,Italian
395,2025-06-29T10:25:00,ES,social,English,German
396,2025-06-29T19:55:00,MX,organic,English,Italian
397,2025-06-29T06:27:00,FR,paid_search,English,German
398,2025-06-29T06:39:00,ES,paid_search,English,German
399,2025-06-29T23:20:00,FR,organic,English,Japanese
400,2025-06-29T07:09:00,us,organic,English,Italian
401,2025-06-29T05:46:00,IN,social,English,Japanese
402,2025-06-29T06:31:00,br,app_store,English,French
403,2025-06-29T02:40:00,br,app_store,English,Spanish
404,2025-06-29T09:06:00,IN,paid_search,English,English
405,2025-06-29T00:36:00,MX,social,English,Spanish
406,2025-06-29T13:04:00,MX,social,English,Spanish
407,2025-06-29T20:14:00,DE,paid_search,English,German
408,2025-06-29T13:47:00, US,referral,English,French
409,2025-06-29T08:51:00,MX,organic,English,Japanese
410,2025-06-29T03:26:00,JP,paid_search,English,Italian
411,2025-06-29T12:14:00,Pl,app_store,English,Italian
412,2025-06-30T20:11:00,IN,paid_search,English,English
413,2025-06-30T13:22:00,IN,organic,English,German
414,2025-06-30T12:28:00,IN,paid_search,English,Japanese
415,2025-06-30T17:36:00,MX,paid_search,English,English
416,2025-06-30T03:25:00,FR,organic,English,English
417,2025-06-30T05:50:00,GB,organic,English,French
418,2025-06-30T20:03:00,GB,paid_search,English,Japanese
419,2025-06-30T10:41:00,ES,organic,English,Japanese
420,2025-06-30T02:22:00,JP,social,English,Spanish
421,2025-06-30T13:27:00, US,organic,English,Japanese
422,2025-06-30T03:34:00,ES,organic,English,French
423,2025-06-30T02:30:00,de,paid_search,English,French
424,2025-06-30T09:58:00,IN,organic,English,Japanese
425,2025-06-30T23:52:00,JP,social,English,German
426,2025-06-30T03:25:00,ES,organic,English,French
427,2025-07-01T08:59:00,BR,organic,English,English
428,2025-07-01T16:32:00,PL,app_store,English,German
429,2025-07-01T07:56:00, US,organic,English,English
430,2025-07-01T01:00:00,Pl,organic,English,Italian
431,2025-07-01T01:54:00,br,organic,English,Japanese
432,2025-07-01T10:59:00,GB,app_store,English,French
433,2025-07-01T18:11:00,FR,organic,English,French
434,2025-07-01T04:05:00,MX,referral,English,Spanish
435,2025-07-01T12:49:00,GB,referral,English,English
436,2025-07-01T22:37:00,FR,social,English,Spanish
437,2025-07-01T13:23:00,FR,referral,English,Japanese
438,2025-07-01T23:26:00,Pl,paid_search,English,German
439,2025-07-01T20:23:00,ES,organic,English,French
440,2025-07-01T02:05:00,FR,organic,English,Japanese
441,2025-07-01T17:26:00,GB,social,English,English
442,2025-07-02T00:18:00,US,organic,English,French
443,2025-07-02T19:13:00,MX,paid_search,English,Japanese
444,2025-07-02T20:58:00,MX,organic,English,Japanese
445,2025-07-02T08:09:00, US,organic,English,Spanish
446,2025-07-02T13:21:00,de,paid_search,English,Japanese
447,2025-07-02T19:12:00,JP,referral,English,English
448,2025-07-02T15:51:00,JP,app_store,English,Spanish
449,2025-07-02T02:05:00,FR,organic,English,German
450,2025-07-02T14:56:00,ES,organic,English,French
451,2025-07-02T02:32:00,GB,organic,English,French
452,2025-07-02T15:10:00,de,paid_search,English,Italian
453,2025-07-02T18:43:00,Pl,app_store,English,French
454,2025-07-02T04:49:00,GB,paid_search,English,Japanese
455,2025-07-02T00:30:00,br,app_store,English,German
456,2025-07-02T11:30:00,us,paid_search,English,English
457,2025-07-03T17:35:00,US,social,English,French
458,2025-07-03T01:35:00,JP,paid_search,English,English
459,2025-07-03T21:16:00,ES,organic,English,German
460,2025-07-03T19:43:00,IN,social,English,Japanese
461,2025-07-03T10:27:00,MX,referral,English,Japanese
462,2025-07-03T15:18:00,GB,social,English,Italian
463,2025-07-03T22:57:00,JP,organic,English,Japanese
464,2025-07-03T15:48:00,ES,paid_search,English,Spanish
465,2025-07-03T11:27:00,UK,social,English,French
466,2025-07-03T03:23:00,FR,social,English,French
467,2025-07-03T17:13:00,de,organic,English,Japanese
468,2025-07-03T02:57:00,de,organic,English,Spanish
469,2025-07-03T06:19:00,FR,referral,English,Japanese
470,2025-07-03T18:10:00,UK,organic,English,Italian
471,2025-07-03T18:28:00,FR,organic,English,German
472,2025-07-04T05:18:00,pl ,paid_search,English,Spanish
473,2025-07-04T16:08:00,IN,paid_search,English,Spanish
474,2025-07-04T18:34:00,Pl,referral,English,French
475,2025-07-04T10:49:00,ES,organic,English,German
476,2025-07-04T04:10:00,FR,paid_search,English,German
477,2025-07-04T17:14:00,FR,social,English,French
478,2025-07-04T04:16:00,FR,organic,English,Spanish
479,2025-07-04T16:18:00,ES,organic,English,English
480,2025-07-04T12:45:00,PL,paid_search,English,English
481,2025-07-04T15:01:00,JP,app_store,English,English
482,2025-07-04T14:26:00,ES,app_store,English,English
483,2025-07-04T18:21:00,BR,organic,English,Italian
484,2025-07-04T13:28:00,us,paid_search,English,German
485,2025-07-04T13:45:00,ES,referral,English,Japanese
486,2025-07-04T02:42:00,MX,social,English,French
487,2025-07-05T20:46:00, US,referral,English,Spanish
488,2025-07-05T03:18:00,IN,paid_search,English,Italian
489,2025-07-05T19:36:00,pl ,organic,English,English
490,2025-07-05T13:36:00,MX,organic,English,French
491,2025-07-05T04:44:00,PL,app_store,English,Italian
492,2025-07-05T01:50:00,ES,social,English,Italian
493,2025-07-05T17:10:00,DE,organic,English,Italian
494,2025-07-05T21:46:00,MX,social,English,Spanish
495,2025-07-05T19:25:00,MX,organic,English,French
496,2025-07-05T23:33:00,FR,paid_search,English,French
497,2025-07-05T10:41:00,MX,social,English,French
498,2025-07-05T18:34:00,JP,referral,English,German
499,2025-07-05T05:40:00,IN,paid_search,English,Spanish
500,2025-07-05T23:52:00,FR,organic,English,Spanish
501,2025-07-05T12:43:00,IN,organic,English,Italian
502,2025-07-05T09:20:00,de,organic,English,French
503,2025-07-05T04:11:00,de,paid_search,English,German
504,2025-07-05T20:31:00,UK,social,English,Spanish
505,2025-07-05T03:24:00,MX,paid_search,English,French
506,2025-07-06T01:14:00,MX,social,English,Spanish
507,2025-07-06T23:05:00,GB,organic,English,German
508,2025-07-06T04:24:00,DE,organic,English,French
509,2025-07-06T05:54:00,UK,organic,English,Italian
510,2025-07-06T06:07:00,JP,organic,English,French
511,2025-07-06T22:30:00,us,organic,English,German
512,2025-07-06T15:23:00,IN,organic,English,Spanish
513,2025-07-06T18:38:00,DE,organic,English,Italian
514,2025-07-06T22:36:00,FR,referral,English,English
515,2025-07-06T05:31:00,US,referral,English,Japanese
516,2025-07-06T02:37:00,FR,social,English,Japanese
517,2025-07-06T02:46:00,DE,social,English,English
518,2025-07-06T10:03:00,MX,paid_search,English,English
519,2025-07-06T17:02:00,MX,social,English,Italian
520,2025-07-06T06:25:00,JP,organic,English,Spanish
521,2025-07-06T12:40:00,FR,paid_search,English,Japanese
522,2025-07-06T09:49:00,IN,app_store,English,Italian
523,2025-07-06T05:46:00,UK,social,English,French
524,2025-07-06T19:11:00,BR,app_store,English,Italian
525,2025-07-07T17:48:00, US,app_store,English,German
